
APERTIUM: cadell	PAR: senyor__n	FORMS: NCFP000 cadelles NCFS000 cadella NCMP000 cadells NCMS000 cadell
   OTHER: cadell	PAR: abric__n	FORMS: NCMP000 cadells NCMS000 cadell

APERTIUM: caganiu	PAR: acompanyant__n	FORMS: NCCP000 caganius NCCS000 caganiu
   OTHER: caganiu	PAR: abric__n	FORMS: NCMP000 caganius NCMS000 caganiu

APERTIUM: calador	PAR: abric__n	FORMS: NCMP000 caladors NCMS000 calador
   OTHER: calador	PAR: senyor__n	FORMS: NCFP000 caladores NCFS000 caladora NCMP000 caladors NCMS000 calador

APERTIUM: calaix	PAR: abast__n	FORMS: NCMP000 calaixos NCMP000 calaixs NCMS000 calaix
   OTHER: calaix	PAR: as__n	FORMS: NCMP000 calaixos NCMS000 calaix

APERTIUM: calavera	PAR: abell/a__n	FORMS: NCFP000 calaveres NCFS000 calavera
   OTHER: calavera	PAR: accionist/a__n	FORMS: NCCP000 calaveres NCCS000 calavera

APERTIUM: caliptoblast	PAR: abric__n	FORMS: NCMP000 caliptoblasts NCMS000 caliptoblast
   OTHER: caliptoblast	PAR: abast__n	FORMS: NCMP000 caliptoblastos NCMP000 caliptoblasts NCMS000 caliptoblast

APERTIUM: calma	PAR: abell/a__n	FORMS: NCFP000 calmes NCFS000 calma
   OTHER: calma	PAR: accionist/a__n	FORMS: NCCP000 calmes NCCS000 calma

APERTIUM: caloreta	PAR: q__n	FORMS: NCFS000 caloreta
   OTHER: caloreta	PAR: abell/a__n	FORMS: NCFP000 caloretes NCFS000 caloreta

APERTIUM: canadenc	PAR: bas/c__n	FORMS: NCFP000 canadenques NCFS000 canadenca NCMP000 canadencos NCMP000 canadencs NCMS000 canadenc
   OTHER: canadenc	PAR: asiàti/c__n	FORMS: NCFP000 canadenques NCFS000 canadenca NCMP000 canadencs NCMS000 canadenc

APERTIUM: canalla	PAR: q__n	FORMS: NCFS000 canalla
   OTHER: canalla	PAR: accionist/a__n	FORMS: NCCP000 canalles NCCS000 canalla

APERTIUM: canapè	PAR: abric__n	FORMS: NCMP000 canapès NCMS000 canapè
   OTHER: canapè	PAR: caf/è__n	FORMS: NCMP000 canapès NCMP000 canapés NCMS000 canapè NCMS000 canapé

APERTIUM: cantiga	PAR: abell/a__n	FORMS: NCFP000 cantiges NCFS000 cantiga
   OTHER: cantiga	PAR: alg/a__n	FORMS: NCFP000 cantigues NCFS000 cantiga

APERTIUM: canyís	PAR: av/ís__n	FORMS: NCMP000 canyisos NCMS000 canyís
   OTHER: canyís	PAR: passad/ís__n	FORMS: NCMP000 canyissos NCMS000 canyís

APERTIUM: cap	PAR: accessibilitat__n	FORMS: NCFP000 caps NCFS000 cap
   OTHER: cap	PAR: acompanyant__n	FORMS: NCCP000 caps NCCS000 cap

APERTIUM: capricorn	PAR: guardaespatlles__n	FORMS: NCCN000 capricorn
   OTHER: capricorn	PAR: abric__n	FORMS: NCMP000 capricorns NCMS000 capricorn

APERTIUM: capritx	PAR: abast__n	FORMS: NCMP000 capritxos NCMP000 capritxs NCMS000 capritx
   OTHER: capritx	PAR: as__n	FORMS: NCMP000 capritxos NCMS000 capritx

APERTIUM: captiu	PAR: administrati/u__n	FORMS: NCFP000 captives NCFS000 captiva NCMP000 captius NCMS000 captiu
   OTHER: captiu	PAR: abric__n	FORMS: NCMP000 captius NCMS000 captiu

APERTIUM: carabassa	PAR: abell/a__n	FORMS: NCFP000 carabasses NCFS000 carabassa
   OTHER: carabassa	PAR: accionist/a__n	FORMS: NCCP000 carabasses NCCS000 carabassa

APERTIUM: carbassa	PAR: abell/a__n	FORMS: NCFP000 carbasses NCFS000 carbassa
   OTHER: carbassa	PAR: accionist/a__n	FORMS: NCCP000 carbasses NCCS000 carbassa

APERTIUM: carcamal	PAR: abric__n	FORMS: NCMP000 carcamals NCMS000 carcamal
   OTHER: carcamal	PAR: acompanyant__n	FORMS: NCCP000 carcamals NCCS000 carcamal

APERTIUM: cardioide	PAR: abric__n	FORMS: NCMP000 cardioides NCMS000 cardioide
   OTHER: cardioide	PAR: accessibilitat__n	FORMS: NCFP000 cardioides NCFS000 cardioide

APERTIUM: carnívor	PAR: senyor__n	FORMS: NCFP000 carnívores NCFS000 carnívora NCMP000 carnívors NCMS000 carnívor
   OTHER: carnívor	PAR: abric__n	FORMS: NCMP000 carnívors NCMS000 carnívor

APERTIUM: carregador	PAR: abric__n	FORMS: NCMP000 carregadors NCMS000 carregador
   OTHER: carregador	PAR: senyor__n	FORMS: NCFP000 carregadores NCFS000 carregadora NCMP000 carregadors NCMS000 carregador

APERTIUM: casset	PAR: abric__n	FORMS: NCMP000 cassets NCMS000 casset
   OTHER: casset	PAR: acompanyant__n	FORMS: NCCP000 cassets NCCS000 casset

APERTIUM: cava	PAR: carism/a__n	FORMS: NCMP000 caves NCMS000 cava
   OTHER: cava	PAR: accionist/a__n	FORMS: NCCP000 caves NCCS000 cava

APERTIUM: caça	PAR: adre/ça__n	FORMS: NCFP000 caces NCFS000 caça
   OTHER: caça	PAR: ordenan/ça__n	FORMS: NCCP000 caces NCCS000 caça

APERTIUM: cec	PAR: ami/c__n	FORMS: NCFP000 cegues NCFS000 cega NCMP000 cecs NCMS000 cec
   OTHER: cec	PAR: abric__n	FORMS: NCMP000 cecs NCMS000 cec

APERTIUM: centredreta	PAR: abell/a__n	FORMS: NCFP000 centredretes NCFS000 centredreta
   OTHER: centredreta	PAR: carism/a__n	FORMS: NCMP000 centredretes NCMS000 centredreta

APERTIUM: cercador	PAR: abric__n	FORMS: NCMP000 cercadors NCMS000 cercador
   OTHER: cercador	PAR: senyor__n	FORMS: NCFP000 cercadores NCFS000 cercadora NCMP000 cercadors NCMS000 cercador

APERTIUM: cerç	PAR: atletisme__n	FORMS: NCMS000 cerç
   OTHER: cerç	PAR: as__n	FORMS: NCMP000 cerços NCMS000 cerç

APERTIUM: ciclocròs	PAR: atletisme__n	FORMS: NCMS000 ciclocròs
   OTHER: ciclocròs	PAR: IRPF__n	FORMS: NCMN000 ciclocròs
   OTHER: ciclocròs	PAR: campus__n	FORMS: NCMN000 ciclocròs

APERTIUM: cicloide	PAR: abric__n	FORMS: NCMP000 cicloides NCMS000 cicloide
   OTHER: cicloide	PAR: accessibilitat__n	FORMS: NCFP000 cicloides NCFS000 cicloide

APERTIUM: CIF	PAR: BBVA__n	FORMS: NCMS000 CIF
   OTHER: CIF	PAR: IRPF__n	FORMS: NCMN000 CIF
   OTHER: CIF	PAR: campus__n	FORMS: NCMN000 CIF

APERTIUM: civil	PAR: acompanyant__n	FORMS: NCCP000 civils NCCS000 civil
   OTHER: civil	PAR: abric__n	FORMS: NCMP000 civils NCMS000 civil

APERTIUM: clamor	PAR: abric__n	FORMS: NCMP000 clamors NCMS000 clamor
   OTHER: clamor	PAR: acompanyant__n	FORMS: NCCP000 clamors NCCS000 clamor

APERTIUM: classificador	PAR: abric__n	FORMS: NCMP000 classificadors NCMS000 classificador
   OTHER: classificador	PAR: senyor__n	FORMS: NCFP000 classificadores NCFS000 classificadora NCMP000 classificadors NCMS000 classificador

APERTIUM: clauer	PAR: abric__n	FORMS: NCMP000 clauers NCMS000 clauer
   OTHER: clauer	PAR: senyor__n	FORMS: NCFP000 claueres NCFS000 clauera NCMP000 clauers NCMS000 clauer

APERTIUM: clímax	PAR: abric__n	FORMS: NCMP000 clímaxs NCMS000 clímax
   OTHER: clímax	PAR: acompanyant__n	FORMS: NCCP000 clímaxs NCCS000 clímax

APERTIUM: codificador	PAR: abric__n	FORMS: NCMP000 codificadors NCMS000 codificador
   OTHER: codificador	PAR: senyor__n	FORMS: NCFP000 codificadores NCFS000 codificadora NCMP000 codificadors NCMS000 codificador

APERTIUM: cogombre	PAR: abric__n	FORMS: NCMP000 cogombrets NCMS000 cogombret
   OTHER: cogombre	PAR: abric__n	FORMS: NCMP000 cogombres NCMS000 cogombre

APERTIUM: colonitzador	PAR: abric__n	FORMS: NCMP000 colonitzadors NCMS000 colonitzador
   OTHER: colonitzador	PAR: senyor__n	FORMS: NCFP000 colonitzadores NCFS000 colonitzadora NCMP000 colonitzadors NCMS000 colonitzador

APERTIUM: color	PAR: abric__n	FORMS: NCMP000 colors NCMS000 color
   OTHER: color	PAR: acompanyant__n	FORMS: NCCP000 colors NCCS000 color

APERTIUM: comerciant	PAR: acompanyant__n	FORMS: NCCP000 comerciants NCCS000 comerciant
   OTHER: comerciant	PAR: senyor__n	FORMS: NCFP000 comerciantes NCFS000 comercianta NCMP000 comerciants NCMS000 comerciant

APERTIUM: comparsa	PAR: abell/a__n	FORMS: NCFP000 comparses NCFS000 comparsa
   OTHER: comparsa	PAR: accionist/a__n	FORMS: NCCP000 comparses NCCS000 comparsa

APERTIUM: compensador	PAR: abric__n	FORMS: NCMP000 compensadors NCMS000 compensador
   OTHER: compensador	PAR: senyor__n	FORMS: NCFP000 compensadores NCFS000 compensadora NCMP000 compensadors NCMS000 compensador

APERTIUM: compilador	PAR: abric__n	FORMS: NCMP000 compiladors NCMS000 compilador
   OTHER: compilador	PAR: senyor__n	FORMS: NCFP000 compiladores NCFS000 compiladora NCMP000 compiladors NCMS000 compilador

APERTIUM: complex	PAR: abast__n	FORMS: NCMP000 complexos NCMP000 complexs NCMS000 complex
   OTHER: complex	PAR: as__n	FORMS: NCMP000 complexos NCMS000 complex

APERTIUM: component	PAR: abric__n	FORMS: NCMP000 components NCMS000 component
   OTHER: component	PAR: acompanyant__n	FORMS: NCCP000 components NCCS000 component

APERTIUM: comptador	PAR: abric__n	FORMS: NCMP000 comptadors NCMS000 comptador
   OTHER: comptador	PAR: senyor__n	FORMS: NCFP000 comptadores NCFS000 comptadora NCMP000 comptadors NCMS000 comptador

