
APERTIUM: lleig	PAR: lle/ig__adj	FORMS: AQ0FP0 lletges AQ0FP0 lletgíssimes AQ0FS0 lletgíssima AQ0FS0 lletja AQ0MP0 lletgíssims AQ0MP0 lletjos AQ0MS0 lleig AQ0MS0 lletgíssim
   OTHER: lleig	PAR: ??????????????	FORMS: AQ0FP0 lletges AQ0FP0 lletgíssimes AQ0FS0 lletgíssima AQ0FS0 lletja AQ0MP0 lleigs AQ0MP0 lletgíssims AQ0MP0 lletjos AQ0MS0 lleig AQ0MS0 lletgíssim

APERTIUM: llunyà	PAR: afric/à__adj	FORMS: AQ0FP0 llunyanes AQ0FS0 llunyana AQ0MP0 llunyans AQ0MS0 llunyà
   OTHER: llunyà	PAR: ??????????????	FORMS: AQ0FP0 llunyanes AQ0FP0 llunyaníssimes AQ0FS0 llunyana AQ0FS0 llunyaníssima AQ0MP0 llunyans AQ0MP0 llunyaníssims AQ0MS0 llunyaníssim AQ0MS0 llunyà

APERTIUM: lúcid	PAR: absolut__adj	FORMS: AQ0FP0 lúcides AQ0FS0 lúcida AQ0MP0 lúcids AQ0MS0 lúcid
   OTHER: lúcid	PAR: ??????????????	FORMS: AQ0FP0 lucidíssimes AQ0FP0 lúcides AQ0FS0 lucidíssima AQ0FS0 lúcida AQ0MP0 lucidíssims AQ0MP0 lúcids AQ0MS0 lucidíssim AQ0MS0 lúcid

APERTIUM: meritori	PAR: access/ori__adj	FORMS: AQ0FP0 meritòries AQ0FS0 meritòria AQ0MP0 meritoris AQ0MS0 meritori
   OTHER: meritori	PAR: ??????????????	FORMS: AQ0FP0 meritoríssimes AQ0FP0 meritòries AQ0FS0 meritoríssima AQ0FS0 meritòria AQ0MP0 meritoris AQ0MP0 meritoríssims AQ0MS0 meritori AQ0MS0 meritoríssim

APERTIUM: mig	PAR: mi/g__adj	FORMS: AQ0FP0 mitges AQ0FS0 mitja AQ0MP0 mitjos AQ0MS0 mig
   OTHER: mig	PAR: ??????????????	FORMS: AQ0FP0 mitges AQ0FS0 mitja AQ0MP0 migs AQ0MP0 mitjos AQ0MS0 mig

APERTIUM: mínim	PAR: absolut__adj	FORMS: AQ0FP0 mínimes AQ0FS0 mínima AQ0MP0 mínims AQ0MS0 mínim
