
   OTHER: balasto	PAR: abismo__n	FORMS: NCMP000 balastos NCMS000 balasto

APERTIUM: ballestero	PAR: abismo__n	FORMS: NCMP000 ballesteros NCMS000 ballestero
   OTHER: ballestero	PAR: abogad/o__n	FORMS: NCFP000 ballesteras NCFS000 ballestera NCMP000 ballesteros NCMS000 ballestero

APERTIUM: baloncesto	PAR: atletismo__n	FORMS: NCMS000 baloncesto
   OTHER: baloncesto	PAR: abismo__n	FORMS: NCMP000 baloncestos NCMS000 baloncesto

APERTIUM: balonmano	PAR: atletismo__n	FORMS: NCMS000 balonmano
   OTHER: balonmano	PAR: abismo__n	FORMS: NCMP000 balonmanos NCMS000 balonmano

APERTIUM: balonvolea	PAR: atletismo__n	FORMS: NCMS000 balonvolea
   OTHER: balonvolea	PAR: abismo__n	FORMS: NCMP000 balonvoleas NCMS000 balonvolea

APERTIUM: bambú	PAR: abril__n	FORMS: NCMP000 bambúes NCMS000 bambú
   OTHER: bambú	PAR: club__n	FORMS: NCMP000 bambúes NCMP000 bambús NCMS000 bambú

APERTIUM: barcelonismo	PAR: atletismo__n	FORMS: NCMS000 barcelonismo
   OTHER: barcelonismo	PAR: abismo__n	FORMS: NCMP000 barcelonismos NCMS000 barcelonismo

APERTIUM: barrenador	PAR: abril__n	FORMS: NCMP000 barrenadores NCMS000 barrenador
   OTHER: barrenador	PAR: señor__n	FORMS: NCFP000 barrenadoras NCFS000 barrenadora NCMP000 barrenadores NCMS000 barrenador

APERTIUM: barón	PAR: bar/ón__n	FORMS: NCFP000 baronesas NCFS000 baronesa NCMP000 barones NCMS000 barón
   OTHER: barón	PAR: aluvi/ón__n	FORMS: NCMP000 barones NCMS000 barón

APERTIUM: base	PAR: abeja__n	FORMS: NCFP000 bases NCFS000 base
   OTHER: base	PAR: accionista__n	FORMS: NCCP000 bases NCCS000 base

APERTIUM: basket	PAR: atletismo__n	FORMS: NCMS000 basket
   OTHER: basket	PAR: abismo__n	FORMS: NCMP000 baskets NCMS000 basket

APERTIUM: bastardo	PAR: abogad/o__n	FORMS: NCFP000 bastardas NCFS000 bastarda NCMP000 bastardos NCMS000 bastardo
   OTHER: bastardo	PAR: abismo__n	FORMS: NCMP000 bastardos NCMS000 bastardo

APERTIUM: bautismo	PAR: atletismo__n	FORMS: NCMS000 bautismo
   OTHER: bautismo	PAR: abismo__n	FORMS: NCMP000 bautismos NCMS000 bautismo

APERTIUM: bautista	PAR: accionista__n	FORMS: NCCP000 bautistas NCCS000 bautista
   OTHER: bautista	PAR: abismo__n	FORMS: NCMP000 bautistas NCMS000 bautista

APERTIUM: bañador	PAR: abril__n	FORMS: NCMP000 bañadores NCMS000 bañador
   OTHER: bañador	PAR: señor__n	FORMS: NCFP000 bañadoras NCFS000 bañadora NCMP000 bañadores NCMS000 bañador

APERTIUM: bechamel	PAR: abeja__n	FORMS: NCFP000 bechamels NCFS000 bechamel
   OTHER: bechamel	PAR: abril__n	FORMS: NCMP000 bechameles NCMS000 bechamel

APERTIUM: becquerel	PAR: abril__n	FORMS: NCMP000 becquereles NCMS000 becquerel
   OTHER: becquerel	PAR: club__n	FORMS: NCMP000 becquereles NCMP000 becquerels NCMS000 becquerel

APERTIUM: bedel	PAR: señor__n	FORMS: NCFP000 bedelas NCFS000 bedela NCMP000 bedeles NCMS000 bedel
   OTHER: bedel	PAR: albañil__n	FORMS: NCCP000 bedeles NCCS000 bedel

APERTIUM: beicon	PAR: abismo__n	FORMS: NCMP000 beicons NCMS000 beicon
   OTHER: beicon	PAR: abril__n	FORMS: NCMP000 beicones NCMS000 beicon

APERTIUM: beige	PAR: campus__n	FORMS: NCMN000 beige
   OTHER: beige	PAR: abismo__n	FORMS: NCMP000 beiges NCMS000 beige

APERTIUM: benimerín	PAR: bailar/ín__n	FORMS: NCFP000 benimerinas NCFS000 benimerina NCMP000 benimerines NCMS000 benimerín
   OTHER: benimerín	PAR: bot/ín__n	FORMS: NCMP000 benimerines NCMS000 benimerín

APERTIUM: berquelio	PAR: abismo__n	FORMS: NCMP000 berquelios NCMS000 berquelio
   OTHER: berquelio	PAR: atletismo__n	FORMS: NCMS000 berquelio

APERTIUM: best-seller	PAR: abismo__n	FORMS: NCMP000 best-sellers NCMS000 best-seller
   OTHER: best-seller	PAR: club__n	FORMS: NCMP000 best-selleres NCMP000 best-sellers NCMS000 best-seller

APERTIUM: bestia	PAR: abeja__n	FORMS: NCFP000 bestias NCFS000 bestia
   OTHER: bestia	PAR: accionista__n	FORMS: NCCP000 bestias NCCS000 bestia

APERTIUM: bestiario	PAR: abogad/o__n	FORMS: NCFP000 bestiarias NCFS000 bestiaria NCMP000 bestiarios NCMS000 bestiario
   OTHER: bestiario	PAR: abismo__n	FORMS: NCMP000 bestiarios NCMS000 bestiario

APERTIUM: betún	PAR: abril__n	FORMS: NCMP000 betúnes NCMS000 betún
   OTHER: betún	PAR: at/ún__n	FORMS: NCMP000 betunes NCMS000 betún

APERTIUM: biocida	PAR: abismo__n	FORMS: NCMP000 biocidas NCMS000 biocida
   OTHER: biocida	PAR: abeja__n	FORMS: NCFP000 biocidas NCFS000 biocida

APERTIUM: biodiésel	PAR: abril__n	FORMS: NCMP000 biodiéseles NCMS000 biodiésel
   OTHER: biodiésel	PAR: atletismo__n	FORMS: NCMS000 biodiésel

APERTIUM: bioetanol	PAR: abril__n	FORMS: NCMP000 bioetanoles NCMS000 bioetanol
   OTHER: bioetanol	PAR: atletismo__n	FORMS: NCMS000 bioetanol

APERTIUM: bioma	PAR: abismo__n	FORMS: NCMP000 biomas NCMS000 bioma
   OTHER: bioma	PAR: abeja__n	FORMS: NCFP000 biomas NCFS000 bioma

APERTIUM: biopolímero	PAR: abismo__n	FORMS: NCMP000 biopolímeros NCMS000 biopolímero
   OTHER: biopolímero	PAR: abogad/o__n	FORMS: NCFP000 biopolímeras NCFS000 biopolímera NCMP000 biopolímeros NCMS000 biopolímero

APERTIUM: bioquímica	PAR: cuaresma__n	FORMS: NCFS000 bioquímica
   OTHER: bioquímica	PAR: abeja__n	FORMS: NCFP000 bioquímicas NCFS000 bioquímica

APERTIUM: bisnieto	PAR: abogad/o__n	FORMS: NCFP000 biznietas NCFS000 biznieta NCMP000 biznietos NCMS000 biznieto
   OTHER: bisnieto	PAR: abogad/o__n	FORMS: NCFP000 bisnietas NCFS000 bisnieta NCMP000 bisnietos NCMS000 bisnieto

APERTIUM: bobinado	PAR: abismo__n	FORMS: NCMP000 bobinados NCMS000 bobinado
   OTHER: bobinado	PAR: abogad/o__n	FORMS: NCFP000 bobinadas NCFS000 bobinada NCMP000 bobinados NCMS000 bobinado

APERTIUM: boj	PAR: abril__n	FORMS: NCMP000 bojes NCMS000 boj
   OTHER: boj	PAR: atletismo__n	FORMS: NCMS000 boj

APERTIUM: bombardero	PAR: abogad/o__n	FORMS: NCFP000 bombarderas NCFS000 bombardera NCMP000 bombarderos NCMS000 bombardero
   OTHER: bombardero	PAR: abismo__n	FORMS: NCMP000 bombarderos NCMS000 bombardero

APERTIUM: botellero	PAR: abismo__n	FORMS: NCMP000 botelleros NCMS000 botellero
   OTHER: botellero	PAR: abogad/o__n	FORMS: NCFP000 botelleras NCFS000 botellera NCMP000 botelleros NCMS000 botellero

APERTIUM: boxeo	PAR: atletismo__n	FORMS: NCMS000 boxeo
   OTHER: boxeo	PAR: abismo__n	FORMS: NCMP000 boxeos NCMS000 boxeo

APERTIUM: boyardo	PAR: abogad/o__n	FORMS: NCFP000 boyardas NCFS000 boyarda NCMP000 boyardos NCMS000 boyardo
   OTHER: boyardo	PAR: abismo__n	FORMS: NCMP000 boyardos NCMS000 boyardo

APERTIUM: bronconeumonía	PAR: abeja__n	FORMS: NCFP000 bronconeumonias NCFS000 bronconeumonia
   OTHER: bronconeumonía	PAR: abeja__n	FORMS: NCFP000 bronconeumonías NCFS000 bronconeumonía

APERTIUM: brujo	PAR: abismo__n	FORMS: NCMP000 brujos NCMS000 brujo
   OTHER: brujo	PAR: abogad/o__n	FORMS: NCFP000 brujas NCFS000 bruja NCMP000 brujos NCMS000 brujo

APERTIUM: buda	PAR: abismo__n	FORMS: NCMP000 budas NCMS000 buda
   OTHER: buda	PAR: accionista__n	FORMS: NCCP000 budas NCCS000 buda

APERTIUM: bufón	PAR: aluvi/ón__n	FORMS: NCMP000 bufones NCMS000 bufón
   OTHER: bufón	PAR: anfitri/ón__n	FORMS: NCFP000 bufonas NCFS000 bufona NCMP000 bufones NCMS000 bufón

APERTIUM: bulldozer	PAR: abismo__n	FORMS: NCMP000 bulldozers NCMS000 bulldozer
   OTHER: bulldozer	PAR: club__n	FORMS: NCMP000 bulldozeres NCMP000 bulldozers NCMS000 bulldozer

APERTIUM: burgomaestre	PAR: asistent/e__n	FORMS: NCFP000 burgomaestras NCFS000 burgomaestra NCMP000 burgomaestres NCMS000 burgomaestre
   OTHER: burgomaestre	PAR: abismo__n	FORMS: NCMP000 burgomaestres NCMS000 burgomaestre

APERTIUM: buscador	PAR: abril__n	FORMS: NCMP000 buscadores NCMS000 buscador
   OTHER: buscador	PAR: señor__n	FORMS: NCFP000 buscadoras NCFS000 buscadora NCMP000 buscadores NCMS000 buscador

APERTIUM: busilis	PAR: atletismo__n	FORMS: NCMS000 busilis
   OTHER: busilis	PAR: campus__n	FORMS: NCMN000 busilis

APERTIUM: butadieno	PAR: abismo__n	FORMS: NCMP000 butadienos NCMS000 butadieno
   OTHER: butadieno	PAR: atletismo__n	FORMS: NCMS000 butadieno

APERTIUM: buzo	PAR: accionista__n	FORMS: NCCP000 buzos NCCS000 buzo
   OTHER: buzo	PAR: abismo__n	FORMS: NCMP000 buzos NCMS000 buzo

APERTIUM: bádminton	PAR: abismo__n	FORMS: NCMP000 bádmintons NCMS000 bádminton
   OTHER: bádminton	PAR: atletismo__n	FORMS: NCMS000 bádminton

APERTIUM: béisbol	PAR: atletismo__n	FORMS: NCMS000 béisbol
   OTHER: béisbol	PAR: abril__n	FORMS: NCMP000 béisboles NCMS000 béisbol

APERTIUM: bóvido	PAR: abismo__n	FORMS: NCMP000 bóvidos NCMS000 bóvido
   OTHER: bóvido	PAR: abogad/o__n	FORMS: NCFP000 bóvidas NCFS000 bóvida NCMP000 bóvidos NCMS000 bóvido

